Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__KRAS Signaling Up,0.5479825597182058,2.0223028447412346,0.0,0.0,0.0,89/196,12.20%,HKDC1;MALL;CSF2;CCL20;BMP2;MPZL2;TFPI;PTGS2;NR0B2;CTSS;PIGR;RETN;WNT7A;SLPI;PPBP;LIF;SPRY2;ETV5;DUSP6;FUCA1;ETV4;PLAUR;ETV1;BTC;LY96;ADAM8;BIRC3;HSD11B1;DCBLD2;IL7R;ITGB2;EREG;FGF9;HBEGF;TLR8;F2RL1;TNNT2;PCP4;ACE;IL2RG;PCSK1N;TNFRSF1B;EPHB2;NR1H4;CLEC4A;NRP1;CD37;TMEM100;MAP4K1;IL10RA;CSF2RA;ST6GAL1;CFH;IL33;PPP1R15A;LAT2;PSMB8;ANXA10;TNFAIP3;TMEM176A;PLEK2;USH1C;PTPRR;FCER1G;TMEM176B;LAPTM5;EVI5;PRDM1;G0S2;DOCK2;GALNT3;ANGPTL4;IL1RL2;IL1B;IRF8;ALDH1A2;GLRX;TRAF1;IKZF1;GADD45G;IGFBP3;SCG3;ZNF277;TSPAN7;FLT4;LCP1;KCNN4;NGF;WDR33
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.5764106233168141,1.926130620893765,0.0,0.0,0.0,39/95,16.69%,LAMP3;IL7;NCOA7;IL4R;BATF2;CD47;IFI30;CCRL2;LGALS3BP;ISG20;CASP8;CD74;IL15;PSMB9;TRIM5;PLSCR1;PROCR;PSMB8;PARP14;B2M;IRF1;HLA-C;CASP1;TRIM21;TAP1;UBA7;NMI;PARP12;EPSTI1;IRF7;SELL;IFI27;OAS1;GBP4;OGFR;IFITM2;STAT2;HELZ2;PSME2
prerank,MSigDB_Hallmark_2020__IL-2/STAT5 Signaling,0.5220876405220285,1.925335815256281,0.0,0.0,0.0,105/195,17.77%,HOPX;TGM2;CSF2;SCN9A;BMP2;TNFRSF21;GALM;AGER;SLC39A8;SOCS1;SH3BGRL2;LIF;IL4R;ODC1;IL1R2;BATF3;ETV4;CCND3;PIM1;DRC1;CDC42SE2;AHR;NDRG1;IL2RA;LTB;ANXA4;FURIN;CTSZ;IL1RL1;TNFRSF1B;CST7;TNFRSF9;CAPN3;DHRS3;PTCH1;SMPDL3A;NRP1;IRF4;CTLA4;MUC1;NT5E;SHE;SLC2A3;RRAGD;PLSCR1;IL10RA;MAFF;MAP3K8;SPRY4;NFIL3;ICOS;IKZF4;GABARAPL1;TNFRSF4;ITGAE;IL18R1;CD86;NFKBIZ;RNH1;IFNGR1;BCL2L1;PTGER2;SYNGR2;IRF8;GATA1;WLS;TRAF1;CD83;GSTO1;COCH;AMACR;PNP;IL2RB;PENK;CD48;IGF2R;P4HA1;TTC39B;ARL4A;IL3RA;SLC29A2;SELL;IKZF2;PHLDA1;CD79B;CAPG;MAP6;P2RX4;CCR4;PLIN2;PDCD2L;GBP4;IL13;ALCAM;ADAM19;SOCS2;SERPINB6;TNFRSF8;PUS1;EOMES;PTH1R;MYO1E;PLAGL1;DCPS;IL10
prerank,MSigDB_Hallmark_2020__Coagulation,0.5309869209248939,1.886271004491904,0.0,9.52246596600127e-05,0.001,51/138,10.01%,CTSE;FGG;FGA;LTA4H;CFI;DPP4;F11;CPB2;F3;SERPINA1;CTSH;C2;CAPN5;C8B;HNF4A;PF4;LGMN;MMP15;DUSP6;PLG;RGN;CAPN2;P2RY1;MEP1A;C8A;FURIN;ADAM9;GDA;C1QA;TFPI2;PROS1;GP9;MAFF;CTSB;CFH;APOC1;HRG;MMP1;CASP9;ANXA1;PROC;C3;OLR1;C9;APOC2;PLEK;A2M;FYN;TIMP1;F10;SH2B2
prerank,MSigDB_Hallmark_2020__Estrogen Response Late,-0.4923252167538276,-1.8553729410472084,0.0,0.00042502078906033445,0.002,68/197,8.85%,PRLR;RABEP1;MAPT;MYB;PDCD4;CELSR2;PDZK1;PTGER3;SLC9A3R1;FKBP4;NPY1R;SIAH2;CHST8;BCL2;SERPINA5;SERPINA3;COX6C;PGR;HR;CA12;ANXA9;SCUBE2;XBP1;PRKAR2B;RET;SLC22A5;ELOVL5;FAM102A;FLNB;TFAP2C;CXCL12;DNAJC1;AMFR;DHRS2;DLG5;SLC1A4;ST6GALNAC2;TFF1;CHPT1;TPD52L1;SCARB1;NRIP1;SORD;TPBG;TOB1;ARL3;HMGCS2;HOMER2;IL17RB;SLC24A3;SLC29A1;IL6ST;EGR3;PPIF;TIAM1;CXCL14;GINS2;ITPK1;FARP1;IGSF1;LTF;SLC16A1;RNASEH2A;KRT19;ID2;IDH2;OLFM1;TMPRSS3
prerank,MSigDB_Hallmark_2020__Xenobiotic Metabolism,0.4810086951942665,1.7737360160554851,0.0,0.0007791108517637402,0.009,80/198,12.57%,UPP1;CYP2C18;ABCC3;ETS2;ATOH8;MAOA;F11;EPHA2;CYP2S1;ALDH3A1;AQP9;LPIN2;POR;FMO3;HNF4A;CES1;ALAS1;PLG;CBR1;ASL;DDC;ALDH2;PTGDS;BCAT1;SLC6A6;HSD11B1;IL1R1;ADH7;CDA;PMM1;RAP1GAP;PROS1;PAPSS2;GCNT2;AKR1C3;PSMB10;TNFRSF1A;GABARAPL1;PPARD;ARG2;ADH1C;TPST1;NPC1;PGD;HRG;ATP2A2;IDH1;GCKR;VNN1;FAS;SLC6A12;TMEM176B;AKR1C2;GAD1;EPHX1;BCAR1;COMT;CYP1A2;HES6;IRF8;FBP1;HMOX1;REG1A;LCAT;VTN;GSTO1;SLC35B1;XDH;GSR;ADH5;F10;SLC12A4;ITIH4;KYNU;TDO2;CYP17A1;CYB5A;IGFBP1;SERTAD1;TMEM97
prerank,MSigDB_Hallmark_2020__Myc Targets V2,-0.5347266059444433,-1.7134345526983754,0.0,0.0017709199544180603,0.01,22/58,12.70%,SORD;RABEPK;LAS1L;UNG;MPHOSPH10;DCTPP1;SUPV3L1;MCM4;RCL1;NDUFAF4;NOP56;GNL3;NOLC1;NPM1;FARSA;GRWD1;IPO4;MYC;HK2;CBX3;PA2G4;PLK4
prerank,MSigDB_Hallmark_2020__p53 Pathway,0.4381006496949504,1.6238915183780163,0.0,0.0031741553220004234,0.04,63/193,11.55%,UPP1;BMP2;RRAD;DRAM1;TNFSF9;SAT1;EPHA2;PRKAB1;PTPRE;SOCS1;LIF;S100A10;SFN;TCN2;TGFA;FUCA1;LDHB;CCND3;IL1A;RNF19B;IFI30;NDRG1;AK1;HBEGF;ALOX15B;TNNI1;PMM1;ST14;SDC1;OSGIN1;CTSD;GPX2;EPS8L2;SLC7A11;BAX;VAMP8;S100A4;TGFB1;RHBDF2;PROCR;PPP1R15A;BAK1;MAPKAPK3;FAS;IER5;EPHX1;RAB40C;PITPNC1;PDGFA;GLS2;RAP2B;HMOX1;GADD45A;CASP1;IRAK1;TAX1BP3;TAP1;NHLH2;WRAP73;CDKN1A;TM4SF1;PLK3;PHLDA3
prerank,MSigDB_Hallmark_2020__Reactive Oxygen Species Pathway,0.5325769599087092,1.5966977714164583,0.01098901098901099,0.0038822361246005177,0.052,23/47,14.27%,FTL;FES;IPCEF1;GPX3;PFKP;TXNRD1;MBP;MPO;TXNRD2;SOD2;G6PD;MGST1;ABCC1;GLRX;GSR;JUNB;GCLM;SBNO2;STK25;PDLIM1;PRDX4;MSRA;LAMTOR5
prerank,MSigDB_Hallmark_2020__Apoptosis,0.43681104478533567,1.5884061137878136,0.0017921146953405018,0.004149074456614839,0.059,59/159,13.98%,BMP2;BTG3;CASP4;SAT1;CD38;GNA15;CFLAR;PRF1;LGALS3;IL1A;PLCB2;GPX3;BIRC3;IL18;EREG;NEDD9;ISG20;GPX1;IL6;DPYD;CASP8;CDC25B;BAX;SC5D;HGF;CD69;CTH;TNFRSF12A;SOD2;FAS;CASP9;ANXA1;ENO2;BMF;IFNGR1;BCL2L1;IRF1;IL1B;CD14;CD2;DAP;HMOX1;GADD45A;CASP1;GSR;TIMP1;TAP1;FEZ1;IGF2R;TSPO;CDKN1A;FASLG;GUCY2D;MCL1;BCL10;EBP;DNAJC3;GCH1;SQSTM1
prerank,MSigDB_Hallmark_2020__Epithelial Mesenchymal Transition,-0.4152193272803877,-1.5830497844374791,0.0,0.008652208920156808,0.055,81/198,13.78%,MFAP5;CAP2;MGP;SFRP1;MMP3;COL12A1;HTRA1;SPOCK1;POSTN;ADAM12;CXCL12;GAS1;TPM1;MSX1;MXRA5;OXTR;PRRX1;LRRC15;COL5A3;NID2;SNAI2;FBN1;COL5A2;FBN2;SPARC;MAGEE1;COL1A2;ITGB5;LOXL1;COL16A1;COL8A2;PMP22;FBLN2;RGS4;FAP;FOXC2;TGFBR3;COL6A2;TPM4;NOTCH2;COL1A1;THY1;SGCD;COL11A1;COL3A1;ECM2;CALD1;COMP;FSTL1;COPA;THBS2;SGCB;PDGFRB;ACTA2;ID2;COL6A3;THBS1;TAGLN;VCAN;LOXL2;LAMA1;MATN3;SLC6A8;PTHLH;DST;SERPINE2;IGFBP4;SLIT3;LGALS1;FMOD;FGF2;TIMP3;GJA1;SFRP4;COL5A1;CTHRC1;GPC1;LOX;ANPEP;MMP14;MYL9
prerank,MSigDB_Hallmark_2020__Hypoxia,0.42175885175142036,1.5534675414034642,0.0,0.005967412005360795,0.089,75/191,14.67%,TGM2;PLAC8;ADORA2B;PRKCA;WSB1;F3;ERRFI1;HS3ST1;CP;ENO1;PRDX5;EGFR;VEGFA;PLAUR;SLC6A6;PIM1;NDRG1;PFKP;ISG20;IL6;CHST2;TES;PAM;GPC4;SDC4;GCNT2;AMPD3;GALK1;S100A4;ALDOB;SLC2A3;RRAGD;MAFF;NR3C1;PPP1R15A;HEXA;NFIL3;PPARGC1A;DUSP1;P4HA2;TNFAIP3;ENO2;PGM1;PGK1;ALDOC;ANGPTL4;TPI1;SLC37A4;ZFP36;RBPJ;EFNA1;FBP1;GLRX;ADM;HMOX1;TIPARP;PNRC1;TKTL1;NEDD4L;IGFBP3;P4HA1;CDKN1A;HSPA5;KLF7;TGFBI;IRS2;IGFBP1;DDIT4;FOS;ANKZF1;PLIN2;JMJD6;PDK1;LDHA;CITED2
prerank,MSigDB_Hallmark_2020__Cholesterol Homeostasis,0.47412632397294047,1.5477341493072052,0.013059701492537313,0.006130087465613318,0.097,32/73,18.35%,STARD4;ERRFI1;LGMN;CXCL16;PLAUR;LGALS3;MVD;SC5D;PLSCR1;GNAI1;LDLR;ANTXR2;ACSS2;NFIL3;TNFRSF12A;ALDOC;PNRC1;FBXO6;MAL2;PPARG;TMEM97;EBP;FDPS;ALCAM;S100A11;TM7SF2;MVK;FABP5;ATF3;SREBF2;ECH1;PCYT2
prerank,MSigDB_Hallmark_2020__Mitotic Spindle,-0.4018346138875877,-1.5295359816827605,0.0,0.013414718654716806,0.095,92/198,18.30%,PREX1;FLNB;KIFAP3;ALMS1;CKAP5;ARFIP2;RABGAP1;PDLIM5;KIF3B;LRPPRC;SMC3;NUMA1;NIN;CDC42EP4;NOTCH2;DLG1;PALLD;ARFGEF1;CENPF;TIAM1;ITSN1;KIF22;STK38L;ARHGAP29;LATS1;APC;FARP1;PCM1;SMC1A;SPTAN1;PCNT;MARK4;PPP4R2;PRC1;KATNA1;YWHAE;SASS6;BCL2L11;DYNC1H1;ARF6;KIF3C;KIF20B;ARL8A;CENPE;DST;MARCKS;KIF23;KIF11;RFC1;CDK5RAP2;EPB41L2;CDC27;RASA1;KIF5B;TUBD1;CEP192;TLK1;KIF15;NEK2;RACGAP1;TTK;KPTN;ARHGEF7;ARHGEF11;RALBP1;VCL;NUSAP1;FBXO5;CYTH2;MAPRE1;RAB3GAP1;BRCA2;TUBGCP5;ARHGEF3;RAPGEF6;TPX2;ABL1;KIF4A;LMNB1;SOS1;ESPL1;KNTC1;NDC80;TSC1;CDK1;STAU1;CENPJ;NF1;PAFAH1B1;WASF2;WASL;RASAL2
prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,-0.3975016144568254,-1.4963463571333528,0.0,0.01664664757152977,0.132,66/184,16.55%,COX6C;MRPL35;MRPS30;GLUD1;FH;ISCA1;NDUFS2;ACADSB;OPA1;HSPA9;SLC25A12;IMMT;LRPPRC;RETSAT;PDHX;ETFDH;HADHB;MAOB;NDUFC2;OAT;SUPV3L1;NDUFB4;UQCRC2;FXN;HADHA;GOT2;HSD17B10;VDAC1;ATP6V1H;AFG3L2;SUCLA2;ATP6AP1;SDHC;IDH2;ATP6V1G1;NDUFA8;CPT1A;MDH1;MRPS11;DLD;TIMM17A;NDUFA5;AIFM1;MRPS22;DECR1;PDHB;ATP6V1C1;SUCLG1;IDH3B;TIMM9;NDUFA7;PDHA1;NDUFAB1;ACO2;VDAC3;MGST3;UQCRFS1;NDUFS1;UQCRB;NDUFA9;NDUFB6;ABCB7;PRDX3;ALDH6A1;ECHS1;NDUFS4
prerank,MSigDB_Hallmark_2020__heme Metabolism,0.40454702543333737,1.4947582107015556,0.0017035775127768314,0.01109087212510736,0.173,56/194,12.80%,CTSE;ICAM4;AQP3;MFHAS1;NFE2;LPIN2;CLIC2;SPTB;EPOR;HTATIP2;CCND3;NARF;TSPO2;FBXO34;CPOX;RAP1GAP;HBB;TRIM10;XK;PDZK1IP1;SLC7A11;MAP2K3;ACP5;SLC10A3;CTSB;NR3C1;ELL2;SLC25A37;P4HA2;DMTN;BACH1;CA1;HMBS;SDCBP;C3;MOSPD1;LRP10;GATA1;RIOK3;ALAS2;KLF3;YPEL5;SLC4A1;GCLM;TMCC2;TNS1;HBD;KAT2B;RBM38;HBQ1;CTNS;CROCCP2;GYPE;MPP1;TOP1;GDE1
prerank,MSigDB_Hallmark_2020__Adipogenesis,-0.3913517571218283,-1.4943626561787542,0.002380952380952381,0.015194493208906958,0.133,66/192,13.97%,ADIPOQ;PDCD4;PTGER3;SLC5A6;CIDEA;CCNG2;FAH;LIPE;MRAP;REEP5;COL15A1;ADIPOR2;QDPR;LEP;HADH;SCARB1;EPHX2;TOB1;IMMT;ADCY6;RETSAT;UBQLN1;CRAT;OMD;SSPN;REEP6;SORBS1;SAMM50;FABP4;RTN3;MTCH2;ELMOD3;COQ3;ITSN1;SOD1;STAT5A;LAMA4;SDHC;UCK1;CD36;FZD4;DLD;DBT;CDKN2C;NDUFA5;ESYT1;AIFM1;SLC25A10;DECR1;DRAM2;SPARCL1;GPAM;NKIRAS1;ACLY;SUCLG1;GPD2;ELOVL6;CMBL;COQ5;NDUFAB1;SLC27A1;SOWAHC;ACO2;PHLDB1;RNF11;MGST3
